Location,Population
Aruba,108587.0
Africa Eastern and Southern,694446100.0
Afghanistan,39068979.0
Africa Western and Central,473687685.0
Angola,33451132.0
Albania,2528480.0
Andorra,77380.0
Arab World,453723239.0
United Arab Emirates,9401038.0
Argentina,45191965.0
Armenia,2961500.0
American Samoa,49761.0
Antigua and Barbuda,91846.0
Australia,25649248.0
Austria,8916864.0
Azerbaijan,10093121.0
Burundi,12617036.0
Belgium,11538604.0
Benin,13070169.0
Burkina Faso,21478690.0
Bangladesh,166298024.0
Bulgaria,6550696.0
Bahrain,1472204.0
"Bahamas, The",395863.0
Bosnia and Herzegovina,3299349.0
Belarus,9379952.0
Belize,390812.0
Bermuda,64382.0
Bolivia,11816299.0
Brazil,208660842.0
Barbados,281698.0
Brunei Darussalam,447404.0
Bhutan,770006.0
Botswana,2365894.0
Central African Republic,5026628.0
Canada,38028638.0
Central Europe and the Baltics,101215763.0
Switzerland,8638167.0
Channel Islands,166235.0
Chile,19370624.0
China,1411100000.0
Cote d'Ivoire,28915449.0
Cameroon,26210558.0
"Congo, Dem. Rep.",95989998.0
"Congo, Rep.",5752791.0
Colombia,50629997.0
Comoros,802163.0
Cabo Verde,514679.0
Costa Rica,5034320.0
Caribbean small states,4459302.0
Cuba,11176354.0
Curacao,155482.0
Cayman Islands,68684.0
Cyprus,1302247.0
Czechia,10697858.0
Germany,83160871.0
Djibouti,1105188.0
Dominica,67573.0
Denmark,5831404.0
Dominican Republic,11008300.0
Algeria,44042091.0
East Asia & Pacific (excluding high income),2121866294.0
Early-demographic dividend,3396051187.0
East Asia & Pacific,2369420882.0
Europe & Central Asia (excluding high income),250351240.0
Europe & Central Asia,923660463.0
Ecuador,17546065.0
"Egypt, Arab Rep.",109315124.0
Euro area,353536838.0
Eritrea,3291271.0
Spain,47359424.0
Estonia,1329522.0
Ethiopia,118917671.0
European Union,446870959.0
Finland,5529543.0
Fiji,914963.0
France,67601110.0
Faroe Islands,52561.0
"Micronesia, Fed. Sts.",110916.0
Gabon,2322539.0
United Kingdom,66740000.0
Georgia,3722716.0
Ghana,31887809.0
Gibraltar,36173.0
Guinea,13371183.0
"Gambia, The",2515733.0
Guinea-Bissau,2013255.0
Equatorial Guinea,1716468.0
Greece,10698599.0
Grenada,116341.0
Greenland,56367.0
Guatemala,17357325.0
Guam,162158.0
Guyana,807481.0
High income,1393469256.0
"Hong Kong SAR, China",7481000.0
Honduras,10119640.0
Heavily indebted poor countries (HIPC),846861642.0
Croatia,3914206.0
Haiti,11243848.0
Hungary,9670419.0
IBRD only,4878296727.0
IDA & IBRD total,6665588686.0
IDA total,1787291959.0
IDA blend,626440308.0
Indonesia,274814866.0
IDA only,1160851651.0
Isle of Man,84064.0
India,1402617695.0
Ireland,5039747.0
"Iran, Islamic Rep.",87723443.0
Iraq,42116605.0
Iceland,366463.0
Israel,9215100.0
Italy,59438851.0
Jamaica,2830739.0
Jordan,10865228.0
Japan,126261000.0
Kazakhstan,19482117.0
Kenya,52217334.0
Kyrgyz Republic,6726596.0
Cambodia,16725474.0
Kiribati,126099.0
St. Kitts and Nevis,46870.0
"Korea, Rep.",51836239.0
Kuwait,4400267.0
Latin America & Caribbean (excluding high income),606535582.0
Lao PDR,7346533.0
Lebanon,5702398.0
Liberia,5149463.0
Libya,7045399.0
St. Lucia,178250.0
Latin America & Caribbean,645498187.0
Least developed countries: UN classification,1082754466.0
